, Exchange,sum_x,count,sum_y,improvement_off_NBBO,width
0,AMEX,359.63499999999993,110,5599,0.0642320057153063,0.016
6,DRCTEDGE,3914.054999999998,987,46701,0.08381094623241468,0.177
3,BEX,268.8450000000014,173,2878,0.09341382904795045,0.012
4,BYX,630.5600000000017,300,6702,0.09408534765741594,0.028
8,FINRA,22135.571900000003,3006,211549,0.10463567258649298,1.0
12,NYSE,781.3100000000002,210,7090,0.1101988716502116,0.035
14,PEARL,103.28000000000034,20,876,0.11789954337899583,0.005
15,PSX,99.50000000000003,39,821,0.12119366626065776,0.004
2,BATS,1788.0899999999974,675,14702,0.12162222826826265,0.081
5,CHX,375.63999999999993,56,3036,0.12372859025032935,0.017
13,NYSENAT,150.1400000000001,59,1206,0.12449419568822562,0.007
1,ARCA,4271.420000000006,1102,33934,0.12587434431543604,0.193
11,MEMX,1113.9700000000055,244,8701,0.12802781289507018,0.05
10,ISLAND,18849.644999999997,3999,146967,0.1282576700892037,0.852
9,IEX,6756.5899999999965,997,41783,0.16170667496350183,0.305
7,EDGEA,965.0699999999999,244,5786,0.1667939854821984,0.044
